time,upstream_reservoir_water_level,upstream_reservoir_outflow,upstream_reservoir_volume,upstream_reservoir_inflow,gate_1_opening,gate_1_outflow,canal_1_water_level,canal_1_outflow,canal_2_water_level,canal_2_outflow,gate_2_opening,gate_2_outflow,canal_3_water_level,canal_3_outflow
5100,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5110,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5120,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5130,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5140,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5150,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5160,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5170,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5180,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5190,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5200,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5210,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5220,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5230,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5240,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5250,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5260,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5270,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5280,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5290,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5300,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5310,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5320,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5330,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5340,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5350,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5360,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5370,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5380,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
